root,category,fixture,word,engine,outcome,median_ns,min_ns,max_ns,samples,below_floor,floor_ns,nonempty,predicate,construct,witness,note
machine,edge-cases,loader-default-symbol,bat,compiled,ok,27900,27900,27900,1,false,100,true,,,,
machine,edge-cases,loader-default-symbol,bdt,compiled,ok,25800,25800,25800,1,false,100,false,,,,
machine,edge-cases,loader-isactive,kat,complete,ok,29900,29900,29900,1,false,100,true,,,,
machine,edge-cases,loader-isactive,sod,complete,ok,23700,23700,23700,1,false,100,true,,,,
machine,edge-cases,loader-isactive,kat,compiled,ok,18900,18900,18900,1,false,100,true,,,,
machine,edge-cases,loader-isactive,sod,compiled,ok,14200,14200,14200,1,false,100,true,,,,
machine,edge-cases,loader-pattern-shapes,bat,complete,ok,14800,14800,14800,1,false,100,true,,,,
machine,edge-cases,loader-pattern-shapes,bet,complete,ok,13300,13300,13300,1,false,100,true,,,,
machine,edge-cases,loader-pattern-shapes,bit,complete,ok,500,500,500,1,false,100,false,,,,
machine,edge-cases,loader-pattern-shapes,bt,complete,ok,4500,4500,4500,1,false,100,false,,,,
machine,edge-cases,loader-pattern-shapes,bat,compiled,ok,17300,17300,17300,1,false,100,true,,,,
machine,edge-cases,loader-pattern-shapes,bet,compiled,ok,15900,15900,15900,1,false,100,true,,,,
machine,edge-cases,loader-pattern-shapes,bit,compiled,ok,600,600,600,1,false,100,false,,,,
machine,edge-cases,loader-pattern-shapes,bt,compiled,ok,5600,5600,5600,1,false,100,false,,,,
machine,edge-cases,simultaneous-epenthesis-cascade,bubu,complete,ok,24000,24000,24000,1,false,100,false,,,,
machine,edge-cases,simultaneous-epenthesis-cascade,bubu,compiled,ok,37500,37500,37500,1,false,100,false,,,,
machine,edge-cases,strrep-identity,pat,complete,ok,62100,62100,62100,1,false,100,true,,,,
machine,edge-cases,strrep-identity,uta,complete,ok,45400,45400,45400,1,false,100,true,,,,
machine,edge-cases,strrep-identity,mat,complete,ok,56600,56600,56600,1,false,100,true,,,,
machine,edge-cases,strrep-identity,mupat,complete,ok,64700,64700,64700,1,false,100,true,,,,
machine,edge-cases,strrep-identity,mumat,complete,ok,63000,63000,63000,1,false,100,true,,,,
