pulumuk	no-parse	-
nsanza	ok	18-casa elevada;10-casa elevada;9-casa elevada
mwadidi	ok	3-direita;1-direita;18-bom
aacenjedza	ok	6-PASSADO-3S+1-advirtir-IND;3P+2-PASSADO-advirtir-IND;ele+PST-3P+2-advirtir-IND;6-PASSADO-advirtir-IND;3P+2-PASSADO-3S+1-advirtir-IND;3S+1-PASSADO-3S+1-advirtir-IND;3S+1-PASSADO-advirtir-IND;ele+PST-6-advirtir-IND
anfuna	ok	ele+PST-2P-querer-IND;ele+PST-3S+1-querer-IND
zinati	ok	10-6-arvora
tayiwa	no-parse	-
kacikairi	SKIPPED_PATHOLOGICAL	-
amebzala	ok	2-sogra
idasiya	ok	4+5+9-PST2-3S+1-deixar-IND;4+5+9-PLPRF-3S+1-deixar-IND;4+5+9-PLPRF-deixar-IND;4+5+9-PST2-deixar-IND
musaabera	ok	18-HAB-3P+2-roubar-APPLIC-IND;2P-HAB-6-robar alguem-IND;18-HAB-3P+2-robar alguem-IND;2P-HAB-3P+2-roubar-APPLIC-IND;18-HAB-6-roubar-APPLIC-IND;2P-HAB-6-roubar-APPLIC-IND;2P-HAB-3P+2-robar alguem-IND;18-HAB-6-robar alguem-IND
anatambira	ok	3S+1-NONPST-3S+1-sofrer-APPLIC-IND;3S+1-NONPST-receber-IND;3P+2-NONPST-3S+1-receber-IND;3S+1-NONPST-sofrer-APPLIC-IND;6-NONPST-sofrer-APPLIC-IND;6-NONPST-3S+1-sofrer-APPLIC-IND;3P+2-NONPST-receber-IND;3S+1-NONPST-3S+1-receber-IND;6-NONPST-3S+1-receber-IND;3P+2-NONPST-3S+1-sofrer-APPLIC-IND;6-NONPST-receber-IND;3P+2-NONPST-sofrer-APPLIC-IND
makumaxanu	no-parse	-
adafuntu	ok	2-o morto
pagumanika	ok	16-PASSADO-encontrar-NEU-IND;16-PASSADO-existir-IND;16-PASSADO-3S+1-existir-IND;16-PASSADO-3S+1-encontrar-NEU-IND
maputu	ok	6-buchecha;6-5-buchecha;6-10-buchecha;6-9-buchecha
mbakhandya	ok	COHES-3S+1-IMP-3S+1-comer-IND;COHES-6-IMP-3S+1-comer-IND;COHES-3P+2-IMP-3S+1-comer-IND;COHES-3S+1-IMP-2P-comer-IND;COHES-6-IMP-2P-comer-IND;COHES-3P+2-IMP-2P-comer-IND
belizibu	no-parse	-
ibdzi	no-parse	-
mangwana	ok	2P-PASSADO-3S+1-jogar-REC-IND;amanhã;2P-PASSADO-3S+1-cair-REC-IND
masakhu	ok	6-10-saco;6-5-saco;6-saco;6-9-saco
citika	ok	7-9-hiena;7-5-hiena;7-10-hiena
wacitatu	ok	3-PASSADO-3S+1-fazer-IND-INTENS;ele+PST-fazer-IND-INTENS;3-PASSADO-fazer-IND-INTENS;ele+PST-3S+1-fazer-IND-INTENS
ndinakupasa	ok	1S-NONPST-2S-dar-IND;1S-NONPST-15-dar-IND;1S-NONPST-17-dar-IND
nzawo	ok	9-companheiro;1-companheiro;10-companheiro
amulukule	no-parse	-
asabvesera	ok	3S+1-HAB-3S+1-escutar-APPLIC-IND;3P+2-HAB-escutar-APPLIC-IND;6-HAB-3S+1-escutar-APPLIC-IND;3S+1-HAB-escutar-APPLIC-IND;3P+2-HAB-ouvir-CAU-APPLIC-IND;6-HAB-escutar-APPLIC-IND;3S+1-HAB-ouvir-CAU-APPLIC-IND;3P+2-HAB-3S+1-ouvir-CAU-APPLIC-IND;3P+2-HAB-3S+1-escutar-APPLIC-IND;6-HAB-ouvir-CAU-APPLIC-IND;3S+1-HAB-3S+1-ouvir-CAU-APPLIC-IND;6-HAB-3S+1-ouvir-CAU-APPLIC-IND
supada	ok	10-catana;9-catana;5-catana
musapwaza	ok	2P-HAB-desprezar-IND;2P-HAB-3S+1-desprezar-IND;18-HAB-3S+1-desprezar-IND;18-HAB-desprezar-IND
padakhonda	ok	16-PST2-3S+1-recusar-IND;16-PST2-recusar-IND;16-PASSADO-PLPRF-3S+1-recusar-IND;16-PLPRF-recusar-IND;16-PASSADO-PLPRF-recusar-IND;16-PLPRF-3S+1-recusar-IND
ikulu	ok	4+5+9-grande
akhazuwika	no-parse	-
ikhagumanika	ok	4+5+9-IMP-existir-IND;4+5+9-IMP-encontrar-NEU-IND;4+5+9-IMP-3S+1-existir-IND;4+5+9-IMP-3S+1-encontrar-NEU-IND
panayikha	ok	16-NONPST-4+5+9-pôr-IND
kumadokero	ok	17-6-por do sol-APPLIC-acção
ndabvala	ok	1S-PASSADO-vestir-IND;3-PLPRF-3S+1-vestir-IND;2P-PLPRF-3S+1-vestir-IND;3-PST2-vestir-IND;3-PLPRF-vestir-IND;2P-PST2-vestir-IND;2P-PLPRF-vestir-IND;3-PST2-3S+1-vestir-IND;2P-PST2-3S+1-vestir-IND;1S-PASSADO-3S+1-vestir-IND
pikhadka	no-parse	-
zingasi	ok	10-9-acender-NZR;10-3-acender-NZR;10-1-acender-NZR;10-9-acender-NZR;10-10-acender-NZR;10-10-acender-NZR;10-18-acender-NZR
yathu	ok	4+5+9-assocpx-1PL
kugumanya	ok	INF-3S+1-juntar-IND;INF-juntar-IND
note	no-parse	-
ndiwedi	ok	é-tu-EVID;é-tu-EVID;é-tu-EVID;é-tu-EVID
uperekentsembe	no-parse	-
