# Manually transcribed from the live pg.ps1 output because -RunCaptureStdout captured the procgov banner rather than the child process's diagnostic stream. The TSV result files remain under the untracked private benchmark directory and independently establish signature parity.
case	grammar	arm	repetition	exit_code	parse_elapsed_ms	steps	binary_sha256	grammar_sha256	words_sha256
original	Mbugwe	baseline	2	0	18906.839	4118089	BBBC0F337039555FBE7F0EC4CAFD6A8A8F14E7598FED5680234D7057B00DF60D	FECEAB0C9FDE24FD84E5F68CF00A96DF1B739B30BCAA29F508189283D8A4BB5C	96626BE30D3177F4AC2000A5B71B091029674F6C051A69D5CC5A50F93C2AAB71
original	Mbugwe	candidate-default	2	0	18789.629	4118089	CAA83C2C8E3F543F893F0A4C15AA539BDA45A63421BF0B5C2B20B6E3799678E4	FECEAB0C9FDE24FD84E5F68CF00A96DF1B739B30BCAA29F508189283D8A4BB5C	96626BE30D3177F4AC2000A5B71B091029674F6C051A69D5CC5A50F93C2AAB71
original	Mbugwe	override	2	0	755.755	45284	CAA83C2C8E3F543F893F0A4C15AA539BDA45A63421BF0B5C2B20B6E3799678E4	FECEAB0C9FDE24FD84E5F68CF00A96DF1B739B30BCAA29F508189283D8A4BB5C	96626BE30D3177F4AC2000A5B71B091029674F6C051A69D5CC5A50F93C2AAB71
original	Mbugwe	baseline	3	0	18462.149	4118089	BBBC0F337039555FBE7F0EC4CAFD6A8A8F14E7598FED5680234D7057B00DF60D	FECEAB0C9FDE24FD84E5F68CF00A96DF1B739B30BCAA29F508189283D8A4BB5C	96626BE30D3177F4AC2000A5B71B091029674F6C051A69D5CC5A50F93C2AAB71
original	Mbugwe	candidate-default	3	0	18539.952	4118089	CAA83C2C8E3F543F893F0A4C15AA539BDA45A63421BF0B5C2B20B6E3799678E4	FECEAB0C9FDE24FD84E5F68CF00A96DF1B739B30BCAA29F508189283D8A4BB5C	96626BE30D3177F4AC2000A5B71B091029674F6C051A69D5CC5A50F93C2AAB71
original	Mbugwe	override	3	0	762.102	45284	CAA83C2C8E3F543F893F0A4C15AA539BDA45A63421BF0B5C2B20B6E3799678E4	FECEAB0C9FDE24FD84E5F68CF00A96DF1B739B30BCAA29F508189283D8A4BB5C	96626BE30D3177F4AC2000A5B71B091029674F6C051A69D5CC5A50F93C2AAB71
positive-control	Mbugwe-declassified-mrule22	baseline	1	0	8352.524	2195961	BBBC0F337039555FBE7F0EC4CAFD6A8A8F14E7598FED5680234D7057B00DF60D	421D442D12CC197D4CF3DA82D7B6797572B05AEF7C97083A2EF6356474C05D71	96626BE30D3177F4AC2000A5B71B091029674F6C051A69D5CC5A50F93C2AAB71
positive-control	Mbugwe-declassified-mrule22	candidate-default	1	0	408.551	30671	CAA83C2C8E3F543F893F0A4C15AA539BDA45A63421BF0B5C2B20B6E3799678E4	421D442D12CC197D4CF3DA82D7B6797572B05AEF7C97083A2EF6356474C05D71	96626BE30D3177F4AC2000A5B71B091029674F6C051A69D5CC5A50F93C2AAB71
positive-control	Mbugwe-declassified-mrule22	baseline	2	0	8321.014	2195961	BBBC0F337039555FBE7F0EC4CAFD6A8A8F14E7598FED5680234D7057B00DF60D	421D442D12CC197D4CF3DA82D7B6797572B05AEF7C97083A2EF6356474C05D71	96626BE30D3177F4AC2000A5B71B091029674F6C051A69D5CC5A50F93C2AAB71
positive-control	Mbugwe-declassified-mrule22	candidate-default	2	0	420.061	30671	CAA83C2C8E3F543F893F0A4C15AA539BDA45A63421BF0B5C2B20B6E3799678E4	421D442D12CC197D4CF3DA82D7B6797572B05AEF7C97083A2EF6356474C05D71	96626BE30D3177F4AC2000A5B71B091029674F6C051A69D5CC5A50F93C2AAB71
positive-control	Mbugwe-declassified-mrule22	baseline	3	0	8384.275	2195961	BBBC0F337039555FBE7F0EC4CAFD6A8A8F14E7598FED5680234D7057B00DF60D	421D442D12CC197D4CF3DA82D7B6797572B05AEF7C97083A2EF6356474C05D71	96626BE30D3177F4AC2000A5B71B091029674F6C051A69D5CC5A50F93C2AAB71
positive-control	Mbugwe-declassified-mrule22	candidate-default	3	0	408.258	30671	CAA83C2C8E3F543F893F0A4C15AA539BDA45A63421BF0B5C2B20B6E3799678E4	421D442D12CC197D4CF3DA82D7B6797572B05AEF7C97083A2EF6356474C05D71	96626BE30D3177F4AC2000A5B71B091029674F6C051A69D5CC5A50F93C2AAB71
original-unselected	Sena	candidate-default	1	0	NA	6631	CAA83C2C8E3F543F893F0A4C15AA539BDA45A63421BF0B5C2B20B6E3799678E4	64E39B031C1A8DBC3A24E39869AB793A037D0F298D2DC1E2B0803DCFA9B15A42	1D904E2A418F6E771EB81E7255FB474A4C07202B8D67F6CBC2E095FD8A8FFF81
original-unselected	Sena	override	2	0	NA	2753	CAA83C2C8E3F543F893F0A4C15AA539BDA45A63421BF0B5C2B20B6E3799678E4	64E39B031C1A8DBC3A24E39869AB793A037D0F298D2DC1E2B0803DCFA9B15A42	1D904E2A418F6E771EB81E7255FB474A4C07202B8D67F6CBC2E095FD8A8FFF81
